img,type,has_cancer
0.jpg,glioma,1
1.jpg,glioma,1
2.jpg,glioma,1
3.jpg,glioma,1
4.jpg,glioma,1
5.jpg,glioma,1
6.jpg,glioma,1
7.jpg,glioma,1
8.jpg,glioma,1
9.jpg,glioma,1
10.jpg,glioma,1
11.jpg,glioma,1
12.jpg,glioma,1
13.jpg,glioma,1
14.jpg,glioma,1
15.jpg,glioma,1
16.jpg,glioma,1
17.jpg,glioma,1
18.jpg,glioma,1
19.jpg,glioma,1
20.jpg,glioma,1
21.jpg,glioma,1
22.jpg,glioma,1
23.jpg,glioma,1
24.jpg,glioma,1
25.jpg,glioma,1
26.jpg,glioma,1
27.jpg,glioma,1
28.jpg,glioma,1
29.jpg,glioma,1
30.jpg,glioma,1
31.jpg,glioma,1
32.jpg,glioma,1
33.jpg,glioma,1
34.jpg,glioma,1
35.jpg,glioma,1
36.jpg,glioma,1
37.jpg,glioma,1
38.jpg,glioma,1
39.jpg,glioma,1
40.jpg,glioma,1
41.jpg,glioma,1
42.jpg,glioma,1
43.jpg,glioma,1
44.jpg,glioma,1
45.jpg,glioma,1
46.jpg,glioma,1
47.jpg,glioma,1
48.jpg,glioma,1
49.jpg,glioma,1
50.jpg,glioma,1
51.jpg,glioma,1
52.jpg,glioma,1
53.jpg,glioma,1
54.jpg,glioma,1
55.jpg,glioma,1
56.jpg,glioma,1
57.jpg,glioma,1
58.jpg,glioma,1
59.jpg,glioma,1
60.jpg,glioma,1
61.jpg,glioma,1
62.jpg,glioma,1
63.jpg,glioma,1
64.jpg,glioma,1
65.jpg,glioma,1
66.jpg,glioma,1
67.jpg,glioma,1
68.jpg,glioma,1
69.jpg,glioma,1
70.jpg,glioma,1
71.jpg,glioma,1
72.jpg,glioma,1
73.jpg,glioma,1
74.jpg,glioma,1
75.jpg,glioma,1
76.jpg,glioma,1
77.jpg,glioma,1
78.jpg,glioma,1
79.jpg,glioma,1
80.jpg,glioma,1
81.jpg,glioma,1
82.jpg,glioma,1
83.jpg,glioma,1
84.jpg,glioma,1
85.jpg,glioma,1
86.jpg,glioma,1
87.jpg,glioma,1
88.jpg,glioma,1
89.jpg,glioma,1
90.jpg,glioma,1
91.jpg,glioma,1
92.jpg,glioma,1
93.jpg,glioma,1
94.jpg,glioma,1
95.jpg,glioma,1
96.jpg,glioma,1
97.jpg,glioma,1
98.jpg,glioma,1
99.jpg,glioma,1
100.jpg,glioma,1
101.jpg,glioma,1
102.jpg,glioma,1
103.jpg,glioma,1
104.jpg,glioma,1
105.jpg,glioma,1
106.jpg,glioma,1
107.jpg,glioma,1
108.jpg,glioma,1
109.jpg,glioma,1
110.jpg,glioma,1
111.jpg,glioma,1
112.jpg,glioma,1
113.jpg,glioma,1
114.jpg,glioma,1
115.jpg,glioma,1
