img,type,has_cancer,height,width,mode,ndim
3967.jpg,pituitary,1,512.0,512.0,L,2
772.jpg,glioma,1,512.0,512.0,L,2
876.jpg,glioma,1,512.0,512.0,L,2
1539_rotate270.jpg,glioma,1,512.0,512.0,L,2
4759_rotate270.jpg,pituitary,1,512.0,512.0,L,2
933_rotate270.jpg,glioma,1,512.0,512.0,L,2
1499_rotate90.jpg,glioma,1,512.0,512.0,L,2
1951_rotate270.jpg,meningioma,1,512.0,512.0,L,2
851_rotate270.jpg,glioma,1,512.0,512.0,L,2
3881_rotate90.jpg,pituitary,1,512.0,512.0,L,2
3732_rotate270.jpg,pituitary,1,512.0,512.0,L,2
4801_rotate270.jpg,pituitary,1,512.0,512.0,L,2
1906_rotate270.jpg,meningioma,1,512.0,512.0,L,2
1168_rotate270.jpg,glioma,1,512.0,512.0,L,2
1980_rotate270.jpg,meningioma,1,512.0,512.0,L,2
4873_rotate180.jpg,pituitary,1,512.0,512.0,L,2
4272_rotate180.jpg,pituitary,1,512.0,512.0,L,2
101.jpg,glioma,1,512.0,512.0,L,2
1017_rotate180.jpg,glioma,1,512.0,512.0,L,2
4196_rotate180.jpg,pituitary,1,512.0,512.0,L,2
2975_rotate270.jpg,meningioma,1,512.0,512.0,L,2
2787_rotate90.jpg,meningioma,1,512.0,512.0,L,2
2321_rotate90.jpg,meningioma,1,512.0,512.0,L,2
1715_rotate90.jpg,meningioma,1,512.0,512.0,L,2
3066.jpg,meningioma,1,512.0,512.0,L,2
2947_rotate90.jpg,meningioma,1,512.0,512.0,L,2
373_rotate270.jpg,glioma,1,512.0,512.0,L,2
4794_rotate90.jpg,pituitary,1,512.0,512.0,L,2
709_rotate180.jpg,glioma,1,512.0,512.0,L,2
604_rotate90.jpg,glioma,1,512.0,512.0,L,2
1921_rotate180.jpg,meningioma,1,512.0,512.0,L,2
3476_rotate90.jpg,pituitary,1,512.0,512.0,L,2
4171_rotate90.jpg,pituitary,1,512.0,512.0,L,2
4673_rotate270.jpg,pituitary,1,512.0,512.0,L,2
19_rotate180.jpg,glioma,1,512.0,512.0,L,2
3147.jpg,meningioma,1,512.0,512.0,L,2
1894_rotate180.jpg,meningioma,1,512.0,512.0,L,2
242_rotate180.jpg,glioma,1,512.0,512.0,L,2
1529_rotate270.jpg,glioma,1,512.0,512.0,L,2
2056.jpg,meningioma,1,512.0,512.0,L,2
3102.jpg,meningioma,1,512.0,512.0,L,2
2789.jpg,meningioma,1,512.0,512.0,L,2
3317_rotate270.jpg,pituitary,1,512.0,512.0,L,2
2782_rotate90.jpg,meningioma,1,512.0,512.0,L,2
4061_rotate90.jpg,pituitary,1,512.0,512.0,L,2
410.jpg,glioma,1,512.0,512.0,L,2
3100_rotate180.jpg,meningioma,1,512.0,512.0,L,2
